isco08,Berufshauptgruppe,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29,a30,a31,a32,a33,a34,a35,a36,a37,a38,a39,a40,a41,a42,a43,a44,a45,a46,a47,a48,a49,a50,a51,a52,fo_probability,fo_computerisation
2655,2,0.72,0.72,0.69,0.69,0.5,0.5,0.5,0.47,0.47,0.47,0.47,0.44,0.44,0.41,0.38,0.38,0.35,0.28,0.25,0.25,0.19,0.13,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78,0.75,0.72,0.72,0.72,0.69,0.66,0.53,0.5,0.5,0.5,0.47,0.47,0.47,0.47,0.44,0.44,0.41,0.35,0.35,0.31,0.31,0.28,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.22,0.22,0.13,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0
2612,2,0.81,0.75,0.81,0.72,0.81,0.66,0.56,0.72,0.5,0.78,0.78,0.44,0.5,0.69,0.56,0.5,0.41,0.5,0.44,0.44,0.22,0.16,0.13,0.19,0.0,0.0,0.0,0.19,0.16,0.28,0.0,0.13,0.03,0.0,0.0,0.75,0.81,0.41,0.72,0.81,0.47,0.69,0.75,0.47,0.53,0.69,0.78,0.81,0.69,0.78,0.53,0.44,0.19,0.44,0.1,0.47,0.0,0.44,0.19,0.25,0.03,0.0,0.22,0.0,0.19,0.0,0.41,0.0,0.0,0.22,0.0,0.25,0.0,0.28,0.06,0.16,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0
3115,3,0.69,0.66,0.66,0.47,0.72,0.53,0.53,0.63,0.47,0.56,0.53,0.44,0.47,0.5,0.38,0.41,0.35,0.41,0.5,0.5,0.44,0.53,0.69,0.28,0.47,0.41,0.28,0.28,0.28,0.5,0.5,0.28,0.69,0.5,0.56,0.75,0.75,0.44,0.53,0.75,0.47,0.72,0.72,0.5,0.53,0.53,0.72,0.72,0.72,0.69,0.53,0.47,0.56,0.47,0.25,0.6,0.1,0.41,0.5,0.47,0.25,0.35,0.5,0.19,0.5,0.41,0.56,0.06,0.25,0.44,0.19,0.47,0.1,0.5,0.25,0.53,0.41,0.0,0.5,0.0,0.0,0.25,0.28,0.19,0.03,0.03,0.0,0.24,0
2120,2,0.81,0.72,0.75,0.5,0.81,0.53,0.5,0.75,0.5,0.81,0.63,0.44,0.47,0.56,0.44,0.47,0.47,0.5,0.72,0.75,0.5,0.25,0.25,0.22,0.0,0.0,0.0,0.41,0.25,0.81,0.0,0.28,0.22,0.0,0.0,0.75,0.75,0.38,0.66,0.75,0.47,0.69,0.72,0.53,0.56,0.6,0.75,0.78,0.72,0.75,0.75,0.38,0.35,0.41,0.19,0.56,0.0,0.41,0.0,0.25,0.0,0.0,0.13,0.0,0.0,0.0,0.44,0.0,0.0,0.25,0.0,0.22,0.0,0.78,0.13,0.0,0.22,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0
1222,1,0.69,0.75,0.78,0.75,0.75,0.56,0.63,0.63,0.63,0.69,0.69,0.47,0.5,0.56,0.53,0.6,0.53,0.53,0.53,0.53,0.44,0.16,0.16,0.19,0.0,0.03,0.0,0.44,0.41,0.5,0.0,0.19,0.16,0.0,0.0,0.81,0.75,0.38,0.75,0.75,0.69,0.69,0.66,0.69,0.47,0.72,0.72,0.63,0.56,0.72,0.6,0.44,0.56,0.47,0.16,0.53,0.0,0.41,0.1,0.19,0.0,0.0,0.16,0.0,0.1,0.0,0.47,0.0,0.0,0.47,0.0,0.19,0.0,0.47,0.19,0.03,0.19,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0
3339,3,0.6,0.78,0.69,0.72,0.56,0.5,0.5,0.5,0.53,0.56,0.53,0.31,0.41,0.47,0.69,0.75,0.35,0.72,0.5,0.28,0.28,0.0,0.25,0.22,0.0,0.0,0.0,0.25,0.25,0.44,0.25,0.22,0.16,0.0,0.0,0.78,0.75,0.35,0.78,0.72,0.56,0.6,0.53,0.56,0.5,0.75,0.53,0.53,0.5,0.63,0.5,0.47,0.47,0.44,0.25,0.47,0.0,0.44,0.1,0.25,0.0,0.0,0.16,0.0,0.0,0.22,0.44,0.0,0.0,0.38,0.06,0.25,0.0,0.44,0.03,0.22,0.25,0.0,0.44,0.06,0.06,0.1,0.1,0.1,0.13,0.1,0.0,0.075,0
7521,7,0.5,0.53,0.53,0.47,0.47,0.53,0.5,0.44,0.5,0.41,0.44,0.31,0.31,0.41,0.22,0.25,0.22,0.31,0.44,0.28,0.19,0.13,0.69,0.06,0.47,0.28,0.03,0.19,0.19,0.38,0.72,0.16,0.53,0.5,0.5,0.53,0.56,0.28,0.5,0.53,0.25,0.63,0.6,0.22,0.53,0.5,0.53,0.5,0.53,0.44,0.53,0.44,0.53,0.47,0.63,0.5,0.47,0.31,0.66,0.5,0.5,0.56,0.6,0.28,0.66,0.56,0.56,0.53,0.66,0.44,0.19,0.44,0.22,0.35,0.44,0.63,0.5,0.13,0.38,0.19,0.25,0.6,0.56,0.47,0.22,0.22,0.31,0.95,1
8143,8,0.5,0.53,0.53,0.47,0.47,0.53,0.5,0.44,0.5,0.41,0.44,0.31,0.31,0.41,0.22,0.25,0.22,0.31,0.44,0.28,0.19,0.13,0.69,0.06,0.47,0.28,0.03,0.19,0.19,0.38,0.72,0.16,0.53,0.5,0.5,0.53,0.56,0.28,0.5,0.53,0.25,0.63,0.6,0.22,0.53,0.5,0.53,0.5,0.53,0.44,0.53,0.44,0.53,0.47,0.63,0.5,0.47,0.31,0.66,0.5,0.5,0.56,0.6,0.28,0.66,0.56,0.56,0.53,0.66,0.44,0.19,0.44,0.22,0.35,0.44,0.63,0.5,0.13,0.38,0.19,0.25,0.6,0.56,0.47,0.22,0.22,0.31,0.95,1
8189,8,0.5,0.53,0.53,0.47,0.47,0.53,0.5,0.44,0.5,0.41,0.44,0.31,0.31,0.41,0.22,0.25,0.22,0.31,0.44,0.28,0.19,0.13,0.69,0.06,0.47,0.28,0.03,0.19,0.19,0.38,0.72,0.16,0.53,0.5,0.5,0.53,0.56,0.28,0.5,0.53,0.25,0.63,0.6,0.22,0.53,0.5,0.53,0.5,0.53,0.44,0.53,0.44,0.53,0.47,0.63,0.5,0.47,0.31,0.66,0.5,0.5,0.56,0.6,0.28,0.66,0.56,0.56,0.53,0.66,0.44,0.19,0.44,0.22,0.35,0.44,0.63,0.5,0.13,0.38,0.19,0.25,0.6,0.56,0.47,0.22,0.22,0.31,0.88,1
2353,2,0.69,0.69,0.69,0.63,0.63,0.66,0.56,0.53,0.5,0.6,0.66,0.81,0.69,0.63,0.5,0.47,0.41,0.6,0.47,0.44,0.1,0.19,0.22,0.22,0.0,0.0,0.0,0.03,0.03,0.41,0.0,0.1,0.03,0.0,0.0,0.81,0.72,0.44,0.72,0.75,0.56,0.66,0.63,0.56,0.5,0.69,0.63,0.56,0.5,0.75,0.47,0.44,0.25,0.44,0.25,0.5,0.0,0.41,0.0,0.25,0.0,0.0,0.19,0.0,0.0,0.0,0.41,0.0,0.0,0.25,0.0,0.25,0.0,0.47,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0
